Category,Funding Classification,Funder,Scheme,Academic CI and PCI costs,Personnel Costs,Other costs allowable,Ineligible costs,Monash Contribution (cash or in kind),Indirect Costs Allowable?,Indirect Cost Rate (if specified),Max indirect cost applied in application,last checked,,,,,,,,,,,,,,,,
Cat 1,Australian Research Council (ARC),ARC,"Discovery

Discovery Projects
Australian Laureate Fellowships
Future Fellowships
Discovery Early Career Researcher Award
Discovery Indigenous

Linkage
Linkage Projects
Centres of Excellence
Industrial Transformation Research Hubs
Industrial Transformation Training Centres
Industry Fellowships
LIEF",None,"postdoctoral research associates, research
assistants, technicians and laboratory attendants (30% on-costs)
HDR stipends
expert services of a third party


Note: HDR stipends often added as in-kind and HDR top-ups often added as cash contributions
Note: Some schemes specify salary rates for specified positions (postdoc, HDR, fellow)","teaching relief for CIs
travel costs essential to the project
expenditure on field research essential to the project
equipment (and its maintenance) and consumables essential for the project (<$150k)
access to national and international research and infrastructure facilities
access to technical workshop services
publication and dissemination of project research outputs and outreach activity
specialised computer equipment and software
web hosting and web development specific to the project
workshops, focus groups and conferences
travel costs for carer or requires care or assistance","CI time
administrative overheads","LIEF  - 20%
COE - 25%",Unallowable,,,31-Mar,,,,,,,,,,,,,,,,
Cat 1,National Health and Medical Research Council (NHMRC),NHMRC,Ideas,"Allowable, but not normally intended.
CIs (including CIA) may draw a salary if based in Australia for ≥80% of the funding period. Justification must be provided and will be considered in peer review.","Personnel support Packages (may not cover full costs) for:
Postgraduate students
Technical support – non-graduate personnel
Junior graduate research assistant; or junior graduate nurse, midwife or allied health professional; or junior data manager/ data analyst
Experienced graduate research assistant/ junior postdoctoral research officer; or experienced graduate nurse, midwife or allied health professional; or experienced data manager/ analyst
PSP4 – Experienced postdoctoral researcher
PSP5 – Senior experienced postdoctoral researcher

If ther is a gap between PSP rates and the institution’s enterprise bargaining rate (or equivalent). Where this occurs, other research funds awarded for Research Support Schemes (except for Investigator Grant CIAs) can be used to cover the gap between the PSP and the researcher’s part or total salary including on costs, but applicants cannot request additional Funds in their application to cover this cost. Such use of Funds is to be the outcome of agreement between the Administering Institution and CIA. 

On costs
NHMRC Funds can be used for on costs such as annual leave and long service leave entitlements that accrue in respect of research personnel during their employment on that Research Activity. Severance and termination payments and extended leave payments (leave entitlements accrued on non-NHMRC Research Activities) are not Direct Research Costs and must not be paid for with NHMRC funding.
","Biospecimen and associated data costs
Conferences - from existing budget, not applied for
Refreshments for clinical trial participants
Equipment <$80k - no repair or service
Specialised computing requirements
Publications and Open Access Costs - from existing budget, not applied for
Travel directly related to research objectives 

https://intranet.ecu.edu.au/__data/assets/pdf_file/0009/970623/Ideas-Grant-2025-Guidelines-v1.1.pdf","Explicitly not funded:
• Infrastructure, land, buildings, fixtures
• Purchase of standard computers (except where integral to laboratory equipment or for specialised large‑dataset handling)
• Attendance at conferences (not an allowable direct cost)
• Publication costs (not directly funded)
• Severance and termination payments
• Extended leave payments accrued on non‑NHMRC research activities",,Unallowable,,,31-Mar,,,,,,,,,,,,,,,,
Cat 1,National Health and Medical Research Council (NHMRC),NHMRC,Investigator and Fellows,"Salary support for the CIA only (the grant recipient). No other CIs or PIs are permitted.
The salary component is provided as a contribution to the Administering Institution; actual remuneration is agreed between the CIA and the institution. Salary levels (indexed): EL1 $87,681; EL2 $124,740; L1 $163,781; L2 $190,915; L3 $202,805 per annum.","Allowable from the Research Support Package (RSP) :
• Personnel Support Packages (PSPs) to employ research staff (postdoctoral researchers, research assistants, technicians, HDR student stipends).
• The RSP cannot be used to supplement the CIA’s salary.
• PSP levels and justification follow the same framework as Ideas Grants.","Allowable from the RSP as direct research costs, consistent with NHMRC’s Direct Research Costs Guidelines:
• Consumables, equipment (<$80,000 per item; total equipment ≤$80,000), specialised computing, biospecimens, travel directly related to research objectives, clinical trial participant refreshments, etc.
• Overseas activities if critical and not available in Australia.
• The RSP amount varies by Level: EL1 $50,000; EL2 $200,000; Leadership $400,000 per annum.","Explicitly not funded:
• Infrastructure, land, buildings, fixtures
• Standard computers (except where integral to specialised equipment)
• Salary for anyone other than the CIA (no other CIs or PIs)
• Indirect costs / overheads (NHMRC funds only direct research costs)
• Conference attendance (not an allowable direct cost)",,Unallowable,,0%,31-Mar,,,,,,,,,,,,,,,,
Cat 1,Medical Research Future Fund (MRFF),MRFF - NHMRC administered,roughly 90% of MRFF schemes currently run through the NHMRC - these follow normal NHRMC pricing rules ,"	Allowable, but indirectly funded. Salaries for Chief Investigators (CIs) and Partner Investigators (PIs) are not provided directly. Instead, the grant's Research Support Package (RSP) can be used to fund Personnel Support Packages (PSPs) for postdoctoral researchers, research assistants, and technical staff who are not salaried by the institution.","	Allowable via the RSP. The grant can fund salaries for research support staff (e.g., postdoctoral researchers, research assistants, technicians) through PSPs. These are capped at 80% of the salary package, with the institution expected to cover the remaining 20%.","	Allowable as Direct Research Costs (DRCs). This includes, but is not limited to: equipment (essential for the project and not normally available), consumables, travel, fieldwork, data collection, publication costs, access to research facilities, and specialised software","Not funded include: institutional overheads, basic infrastructure (e.g., office furniture), standard computers not essential to the project, costs not directly related to the project (e.g., visas, relocation, insurance), conference attendance (unless directly tied to fieldwork), and publication costs beyond open access fees.",Not required but is strongly encouraged. Demonstrating in-kind or cash co-funding from the institution or partner organisations is viewed favourably in the assessment process.,"	No. MRFF grants administered by NHMRC do not provide funding for institutional overheads or indirect costs. Institutions are expected to cover these from other sources.",0,0,10-Apr,not sure about this.,,,,,,,,,,,,,,,
Cat 1,Medical Research Future Fund (MRFF),"MRFF - Department of Industry, Science and Resources administered","Selected schemes for MRFF are administered through Department of Industry, Science and Resources",Salaries and on-costs covered,"Salaries and on-costs of other staff covered. This includes labour expenditure for leadership or administrative staff (such as CEOs, CFOs,
accountants and lawyers) as eligible expenditure, provided there are direct, demonstrated and monitored links to project objectives and outcomes. Limit these costs to 10 per cent of
the total amount of eligible labour expenditure claimed 

The maximum salary for an employee, director or shareholder, including packaged components that you can claim through the grant is $175,000 per financial year","equipment costing over $10,000 that is essential to the
research. The total equipment requested cannot exceed $80,000 (service and repair costs not covered)

Contracts to 3rd parties

Travel and overseas expenditure

staff training that directly supports the achievement of project outcomes
financial auditing of project expenditure

costs you incur in order to obtain planning, environmental or other regulatory approvals during the project period. However, associated fees paid to the Commonwealth, state, territory and local governments are not eligible
insurances which are specifically required to cover the grant activity

accessing intellectual property (IP) expertise and supporting the protection of IP",,,,,,10-Apr,not sure about this.,,,,,,,,,,,,,,,
Cat 3 ,International government (other)/ International government (other) – USA Gov / International government (own purpose) – USA Gov,US NIH,"Research schemes

Direct costs are allowable (salaries, travel, equipment, and supplies directly benefiting the grant-supported project or activity)
",Allowable as direct costs. Salaries for PD/PI (Principal Investigator) and other senior/key personnel are allowable for the effort committed to the project. Salary must be based on institutional base salary and is subject to the NIH salary cap.,"	Allowable for other personnel (postdoctoral associates, graduate students, technicians, research assistants, secretarial/clerical if justified). Fringe benefits are also allowable.","Allowable direct costs include:
• Travel (domestic and foreign) essential to the project
• Equipment (items ≥$10,000, with justification)
• Supplies and materials (consumables)
• Publication costs
• Consultant services
• ADP/computer services
• Alterations and renovations (minor)
• Patient care costs (if applicable)
• Data Management and Sharing costs (as direct costs)","Not allowable (per NIH GPS):
• Entertainment, alcoholic beverages, public relations, lobbying, fundraising, and certain membership fees.
• Costs that are not directly allocable to the project or are prohibited by federal cost principles (2 CFR 200, Subpart E).
• Indirect costs (F&A) beyond the negotiated rate (for foreign organisations, limited to 8% of MTDC).",,"Yes, but capped for foreign organisations.
For foreign organisations (including Monash), NIH restricts Facilities & Administrative (F&A) costs to 8% of modified total direct costs (MTDC). MTDC excludes equipment, capital expenditures, patient care costs, tuition, rental costs, scholarships, fellowships, and the portion of subawards exceeding $25,000. ",8% for foreign orgnanisations,8%,31-Mar,,,,,,,,,,,,,,,,
Cat 3 ,"International government (other) – USA Gov/International government (own purpose) – USA Gov
",US DoD,All schemes,Grant specific,Grant specific,Grant specific,Grant specific,,49%,,49%,10-Apr,not sure where the numbers are from.,,,,,,,,,,,,,,,
Cat 3 ,International government (other),UK Medical Research Council,"All schemes

Projects must be led by a UK based PI

There is a limit on international collaborators of 30% of Full Economic Costs. Following Brexit, Australian CI can be paid to take part in projectrs",Salary costs covered,"Direct costs of doing the research (detailed justification is required). May need to be unique expertise, not available in the UK

","Direct costs of doing the research (detailed justification is required). May need to be unique expertise, not available in the UK

",,,Investigators at overseas organisations are generally not eligible to receive indirect and estates costs,,,23-Mar,,,,,,,,,,,,,,,,
Cat 3 ,Australian philanthropy/International philanthropy/International not-for profit organisations,Wellcome Trust,All Schemes ,Salary costs covered,"> basic salary
> employer's contributions, including any statutory obligations (for example, National Insurance contributions if you're based in the UK) and pension scheme costs
> Apprentice Levy charges for UK-based salaries 
> any incremental progression up the salary scale
> locally recognised allowances such as London Allowance.
> Visa, work permit and immigration health surcharge costs. Costs can include: visa costs for the researcher’s partner and dependent children, essential associated costs, such as travel to attend appointments at a visa application centre or embassy, and essential English language tests and Immigration Health Surcharge costs for the researcher, their partner and dependent children if they will be in the UK for six months or more.","Service charges, recruitment costs, materials & Consumables, animal research costs, Equipment maintainence, Equipment, equipment access, Computing, Publications, training, travel, subsistence 


Full List of costs that you can claim with further description: https://wellcome.org/grant-funding/guidance/costs-grantholders-can-claim","Salary recovery costs, overhead costs including estates, for example building and premises
research, technical and administrative staff whose time is shared across several projects
administration, such as personnel, finance, library, and room hire.

Cleaning and ad hoc estate costs, shared catering, non-research related costs, Equipment disposal and insurance costs, indemnity insurance.

Full List of costs that you cannot claim with further description: https://wellcome.org/grant-funding/guidance/costs-grantholders-can-claim",,"Researchers can ask for overheads if their grant will be based at a:
- university outside the UK or Republic of Ireland

Overheads can include:

- estates, for example building and premises
- non-project dedicated administrative and support staff
administration, for example finance, library, and room hire.

The total cost for overheads should not be more than:

20% of the direct research costs if you’re based in a low- or middle-income country
15% of the direct research costs if you’re based anywhere else.
",,15%,24-Mar,,,,,,,,,,,,,,,,
Cat 2,"Commonwealth (own purpose)/Commonwealth (other)
",CSIRO Data61 ,Next Generations Graduate,pHd Stipend,"Stipend rate according to: 
https://www.csiro.au/-/media/D61/Next-Generation-Graduates-Programs/Files/Round-23-24/NGGP_R23-24_Guidelines.pdf","Training, travel, thesis allowance",Not specified in guidelines,,Not specified in guidelines,,0%,25-Mar,,,,,,,,,,,,,,,,
